schema_version,fuel_id,airport_id,fuel_type,availability_raw,grade_or_detail,price_raw_text,other_fuels_raw,source,source_checked_at,data_checked_at
1.2,EGHC:MOGAS_SUPER,EGHC,MOGAS_SUPER,Nein,Nein,,,landsendairport.co.uk/flyscilly + landsendairport.co.uk/visiting-pilots (Betreiberseite),2026-08-02,2026-08-02
1.2,EGHC:UL91,EGHC,UL91,Prüfen,Prüfen,,,landsendairport.co.uk/flyscilly + landsendairport.co.uk/visiting-pilots (Betreiberseite),2026-08-02,2026-08-02
1.2,EGHE:AVGAS,EGHE,AVGAS,Nein,Nein,,,scilly.gov.uk/general-aviation-ppr + airfield.directory + openAIP + peter2000 (vier Quellen),2026-08-02,2026-08-02
1.2,EGHE:MOGAS_SUPER,EGHE,MOGAS_SUPER,Nein,Nein,,,scilly.gov.uk/general-aviation-ppr + airfield.directory + openAIP + peter2000 (vier Quellen),2026-08-02,2026-08-02
1.2,EGHE:UL91,EGHE,UL91,Nein,Nein,,,scilly.gov.uk/general-aviation-ppr + airfield.directory + openAIP + peter2000 (vier Quellen),2026-08-02,2026-08-02
1.2,EGHN:AVGAS,EGHN,AVGAS,Ja,Ja,,,https://www.eghn.org.uk/pilots,2026-08-02,2026-08-02
1.2,EGHN:MOGAS_SUPER,EGHN,MOGAS_SUPER,Prüfen,Prüfen,,,https://www.eghn.org.uk/pilots,2026-08-02,2026-08-02
1.2,EGHN:UL91,EGHN,UL91,Prüfen,Prüfen,,,https://www.eghn.org.uk/pilots,2026-08-02,2026-08-02
1.2,EGHR:AVGAS,EGHR,AVGAS,Ja,Ja,,,https://www.goodwood.com/flying/pilot-information/,2026-08-02,2026-08-02
1.2,EGHR:MOGAS_SUPER,EGHR,MOGAS_SUPER,Nein,Nein,,,https://www.goodwood.com/flying/pilot-information/,2026-08-02,2026-08-02
1.2,EGHR:UL91,EGHR,UL91,Prüfen,Prüfen,,,https://www.goodwood.com/flying/pilot-information/,2026-08-02,2026-08-02
1.2,EGJA:AVGAS,EGJA,AVGAS,Nein,Nein,,,flyalderney.com/pilot-info (Betreiberseite),2026-08-02,2026-08-02
1.2,EGJA:MOGAS_SUPER,EGJA,MOGAS_SUPER,Nein,Nein,,,flyalderney.com/pilot-info (Betreiberseite),2026-08-02,2026-08-02
1.2,EGJA:UL91,EGJA,UL91,Nein,Nein,,,flyalderney.com/pilot-info (Betreiberseite),2026-08-02,2026-08-02
1.2,EGJB:AVGAS,EGJB,AVGAS,Ja,Ja,,,flyalderney.com/pilot-info + en.wikipedia (zwei Quellen),2026-08-02,2026-08-02
